0	0	私たちは、潜在的なクライアントに私たちのことを知ってもらい、彼らにサービスを提供することに重点を置いてきました、とDudovitz氏は述べています。潜在的なクライアントが利用可能なサービスを知るためにはどのくらいの期間が必要ですか？	広告キャンペーン中の1ヶ月
1	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。ザルコとテイシェイラはどれくらいの期間共同知事でしたか？	ザルコとテイシェイラは36年間の共同知事でした
2	1	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。ザルコとテイシェイラはどれくらいの期間共同知事でしたか？	ザルコとテイシェイラは4年間の共同知事でした
3	0	ザルコとテイシェイラはマデイラの共同知事に任命され、ペレストレロはポルトサントを授与されました。ザルコとテイシェイラはどれくらいの期間共同知事でしたか？	一ヶ月
4	0	英国は、ハプスブルク家の原告の名でジブラルタルを押収し、戦争が終わったときにそれを保持しました。戦争はどのくらいの期間起こりましたか？	三日
5	0	英国は、ハプスブルク家の原告の名でジブラルタルを押収し、戦争が終わったときにそれを保持しました。戦争はどのくらいの期間起こりましたか？	2時間
6	1	英国は、ハプスブルク家の原告の名でジブラルタルを押収し、戦争が終わったときにそれを保持しました。戦争はどのくらいの期間起こりましたか？	数年
7	0	デュラーの父は1502年に亡くなり、母は1513年に亡くなりました。母親の病気の期間は？	90年間
8	1	デュラーの父は1502年に亡くなり、母は1513年に亡くなりました。母親の病気の期間は？	2年間
9	0	デュラーの父は1502年に亡くなり、母は1513年に亡くなりました。母親の病気の期間は？	30時間でした
10	0	家庭犬のミカがマーシャからジョーイを奪って食べようとしたことが何度かありました。ミカがジョーイを食べようとするのにかかる時間は？	3週間
11	0	家庭犬のミカがマーシャからジョーイを奪って食べようとしたことが何度かありました。ミカがジョーイを食べようとするのにかかる時間は？	1世紀
12	0	そこでこれからは、マーシャはジョーイがいつでも安全に過ごせるように特別な配慮をすることにしました。ジョーイが無事だったのはどれくらいの時間だったのでしょうか？	90年です。
13	0	しかし、最近では、アブダロニムスの死よりも早い時期のものである可能性が示唆されています。どのくらいの期間存在していたのでしょうか？	何千もの命を根こそぎ奪った
14	0	しかし、最近では、アブダロニムスの死よりも早い時期のものである可能性が示唆されています。どのくらいの期間存在していたのでしょうか？	1年
15	1	しかし、最近では、アブダロニムスの死よりも早い時期のものである可能性が示唆されています。どのくらいの期間存在していたのでしょうか？	数世紀
16	0	1930年代の欧州の戦後不況による後退は、重工業を機械製造、冶金、化学分野へと多角化させることで、努力を重ねるきっかけとなった。戦後の不況はどのくらいの期間続いたのでしょうか。	一日の間
17	1	1930年代の欧州の戦後不況による後退は、重工業を機械製造、冶金、化学分野へと多角化させることで、努力を重ねるきっかけとなった。戦後の不況はどのくらいの期間続いたのでしょうか。	5年
18	1	CIAは現在、9.11以前のアルカイダの活動を維持するために年間約3000万ドルの費用がかかっており、この資金のほとんどは寄付によって集められていたと推定しています。アルカイダが3000万ドルを集めるのにどれくらいの時間がかかったのでしょうか？	2年
19	0	CIAは現在、9.11以前のアルカイダの活動を維持するために年間約3000万ドルの費用がかかっており、この資金のほとんどは寄付によって集められていたと推定しています。アルカイダが3000万ドルを集めるのにどれくらいの時間がかかったのでしょうか？	数日
20	0	怪しい融資制度で彼女を利用した人たちの中には刑務所に送られた人もいました。彼らはどのくらいの期間を刑務所で過ごしたのでしょうか？	1分
21	0	怪しい融資制度で彼女を利用した人たちの中には刑務所に送られた人もいました。彼らはどのくらいの期間を刑務所で過ごしたのでしょうか？	1分
22	0	彼女はランキプールでかつての恋人トム・ランサムと知り合い、今はアルコール依存症になっている。彼女はどのくらいの期間トムの恋人だったのでしょうか？	2週間
23	0	彼女はランキプールでかつての恋人トム・ランサムと知り合い、今はアルコール依存症になっている。彼女はどのくらいの期間トムの恋人だったのでしょうか？	15世紀
24	0	コロンビアでは、国を掌握して民主主義を破壊しようとしている麻薬資金のゲリラの中には、カストロが明らかに支援しているM-19が含まれています。ゲリラはどれくらい長くカストロの支援を受けていたのでしょうか？	1日
25	0	コロンビアでは、国を掌握して民主主義を破壊しようとしている麻薬資金のゲリラの中には、カストロが明らかに支援しているM-19が含まれています。ゲリラはどれくらい長くカストロの支援を受けていたのでしょうか？	1秒
26	0	トミーとスージー（兄妹）は、ある日の午後、ママとパパのヤンとディーンと一緒に遊び場に行きました。遊び場にいた時間はどれくらいだったでしょうか？	5世紀
27	0	アインシュタインは、量子論と力学（まさに彼が作成に貢献した理論）に不満を持っていた、他の物理学者によって受け入れられているにもかかわらず、神は サイコロで遊んでいない と述べています。アインシュタインは何年物理学に取り組んだのでしょうか？	120
28	1	アインシュタインは、量子論と力学（まさに彼が作成に貢献した理論）に不満を持っていた、他の物理学者によって受け入れられているにもかかわらず、神は サイコロで遊んでいない と述べています。アインシュタインは何年物理学に取り組んだのでしょうか？	40年
